2015-09-20T18:19:46.499+0100 W NETWORK  [ReplExecNetThread-1] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:19:46.499+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:19:46.500+0100 W NETWORK  [ReplExecNetThread-0] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:19:46.500+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:19:48.505+0100 W NETWORK  [ReplExecNetThread-0] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:19:48.505+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:19:48.506+0100 W NETWORK  [ReplExecNetThread-1] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:19:48.506+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:19:48.507+0100 W NETWORK  [ReplExecNetThread-0] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:19:48.507+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:19:50.511+0100 W NETWORK  [ReplExecNetThread-0] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:19:50.512+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:19:50.512+0100 W NETWORK  [ReplExecNetThread-1] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:19:50.513+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:19:50.514+0100 W NETWORK  [ReplExecNetThread-0] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:19:50.514+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:19:52.516+0100 W NETWORK  [ReplExecNetThread-0] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:19:52.517+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:19:52.517+0100 W NETWORK  [ReplExecNetThread-1] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:19:52.518+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:19:52.518+0100 W NETWORK  [ReplExecNetThread-0] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:19:52.519+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:19:54.521+0100 W NETWORK  [ReplExecNetThread-0] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:19:54.522+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:19:54.522+0100 W NETWORK  [ReplExecNetThread-1] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:19:54.523+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:19:54.523+0100 W NETWORK  [ReplExecNetThread-0] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:19:54.524+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:19:55.848+0100 I NETWORK  [conn9] end connection 127.0.0.1:64361 (0 connections now open)
2015-09-20T18:19:55.848+0100 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:64452 #10 (2 connections now open)
2015-09-20T18:19:56.529+0100 W NETWORK  [ReplExecNetThread-0] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:19:56.530+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:19:56.531+0100 W NETWORK  [ReplExecNetThread-1] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:19:56.531+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
2015-09-20T18:19:56.532+0100 W NETWORK  [ReplExecNetThread-0] Failed to connect to 127.0.0.1:27001, reason: errno:61 Connection refused
2015-09-20T18:19:56.533+0100 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27001; Location18915 Failed attempt to connect to localhost:27001; couldn't connect to server localhost:27001 (127.0.0.1), connection attempt failed
